City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Saint-Philippe,RE,2022-05-28 14:29:56,-21.3585,55.7679,74.79,76,71,14.99
1,Port Alfred,ZA,2022-05-28 14:29:57,-33.5906,26.891,78.19,56,4,2.75
2,Marawi,PH,2022-05-28 14:29:57,7.9986,124.2928,67.69,92,100,4.7
3,Tiksi,RU,2022-05-28 14:29:57,71.6872,128.8694,30.24,90,100,2.46
4,Castro,BR,2022-05-28 14:27:42,-24.7911,-50.0119,71.37,49,68,9.1
5,Yerbogachën,RU,2022-05-28 14:29:58,61.2767,108.0108,43.63,52,82,2.48
6,Cape Town,ZA,2022-05-28 14:28:22,-33.9258,18.4232,64.27,86,75,21.85
7,Busselton,AU,2022-05-28 14:25:50,-33.65,115.3333,55.36,66,68,14.72
8,Rikitea,PF,2022-05-28 14:26:00,-23.1203,-134.9692,76.24,72,4,9.6
9,Bluff,NZ,2022-05-28 14:25:42,-46.6,168.3333,45.81,87,100,7.31
10,Ushuaia,AR,2022-05-28 14:29:59,-54.8,-68.3,35.26,87,75,25.32
11,Albany,US,2022-05-28 14:29:01,42.6001,-73.9662,72.23,83,99,6.82
12,Champerico,GT,2022-05-28 14:28:37,14.3,-91.9167,82.94,69,66,1.23
13,George Town,MY,2022-05-28 14:27:59,5.4112,100.3354,85.95,78,20,0.0
14,Bambous Virieux,MU,2022-05-28 14:25:37,-20.3428,57.7575,77.25,73,75,14.97
15,Mataura,NZ,2022-05-28 14:30:00,-46.1927,168.8643,45.48,97,26,2.98
16,Khani,GE,2022-05-28 14:30:00,41.9563,42.9566,67.57,53,40,4.45
17,Mabaruma,GY,2022-05-28 14:30:01,8.2,-59.7833,83.93,67,100,5.61
18,Pisco,PE,2022-05-28 14:30:02,-13.7,-76.2167,62.65,82,20,4.61
19,Barrow,US,2022-05-28 14:28:29,71.2906,-156.7887,33.82,86,100,5.75
20,Sevierville,US,2022-05-28 14:28:19,35.8681,-83.5618,68.61,80,69,2.01
21,Katsuura,JP,2022-05-28 14:30:03,35.1333,140.3,66.58,89,98,10.0
22,Yellowknife,CA,2022-05-28 14:30:02,62.456,-114.3525,52.32,66,20,12.66
23,Severo-Kuril'sk,RU,2022-05-28 14:30:04,50.6789,156.125,44.42,96,100,1.99
24,Nikolskoye,RU,2022-05-28 14:27:19,59.7035,30.7861,59.88,73,83,4.68
25,Hamilton,US,2022-05-28 14:30:01,39.1834,-84.5333,62.74,87,100,4.61
26,East London,ZA,2022-05-28 14:26:20,-33.0153,27.9116,79.74,69,0,0.0
27,Colchester,GB,2022-05-28 14:30:05,51.8892,0.9042,62.78,66,92,11.03
28,High Level,CA,2022-05-28 14:25:17,58.5169,-117.136,50.11,87,100,5.75
29,Northam,GB,2022-05-28 14:30:06,51.0333,-4.2167,62.26,69,9,12.15
30,Avarua,CK,2022-05-28 14:30:07,-21.2078,-159.775,77.05,83,75,5.75
31,Boone,US,2022-05-28 14:30:08,39.0334,-92.3335,70.05,72,45,11.05
32,Praia,CV,2022-05-28 14:30:09,14.9215,-23.5087,81.14,61,40,13.8
33,Fortuna,US,2022-05-28 14:30:10,40.5982,-124.1573,55.92,94,100,9.22
34,Isangel,VU,2022-05-28 14:30:11,-19.55,169.2667,76.03,84,24,6.53
35,Noyabrsk,RU,2022-05-28 14:30:12,63.1994,75.4507,66.65,56,85,9.91
36,Srednekolymsk,RU,2022-05-28 14:30:13,67.45,153.6833,44.13,51,73,5.35
37,Hithadhoo,MV,2022-05-28 14:30:13,-0.6,73.0833,84.15,70,43,11.43
38,Cabo San Lucas,MX,2022-05-28 14:30:14,22.8909,-109.9124,81.7,55,7,5.01
39,Punta Arenas,CL,2022-05-28 14:30:13,-53.15,-70.9167,41.02,70,40,17.27
40,Jamestown,US,2022-05-28 14:30:04,42.097,-79.2353,59.02,94,100,10.36
41,Oytal,KZ,2022-05-28 14:30:15,42.9057,73.2697,55.76,77,92,2.64
42,Inhambane,MZ,2022-05-28 14:30:15,-23.865,35.3833,78.78,61,40,9.22
43,Chupaca,PE,2022-05-28 14:30:16,-12.0667,-75.2833,56.79,47,62,0.63
44,Luwuk,ID,2022-05-28 14:30:16,-0.9516,122.7875,76.66,86,37,3.24
45,Cherskiy,RU,2022-05-28 14:30:17,68.75,161.3,34.21,60,4,3.22
46,Ginir,ET,2022-05-28 14:30:18,7.1333,40.7,69.4,53,74,10.65
47,Vaini,TO,2022-05-28 14:30:18,-21.2,-175.2,77.16,94,75,4.61
48,La Rioja,ES,2022-05-28 14:30:18,42.25,-2.5,78.58,40,8,7.14
49,Ust-Nera,RU,2022-05-28 14:30:19,64.5667,143.2,41.65,87,100,3.65
50,Newberry,US,2022-05-28 14:30:20,34.2746,-81.6187,79.54,70,0,2.91
51,Namatanai,PG,2022-05-28 14:30:20,-3.6667,152.4333,78.57,80,100,3.27
52,Poum,NC,2022-05-28 14:30:21,-20.2333,164.0167,76.95,68,39,7.9
53,Ostrovnoy,RU,2022-05-28 14:30:21,68.0531,39.5131,50.52,66,97,13.76
54,Caravelas,BR,2022-05-28 14:30:22,-17.7125,-39.2481,80.29,58,85,7.09
55,Ixtapa,MX,2022-05-28 14:30:22,20.7,-105.2,79.23,83,20,1.99
56,Puerto Ayora,EC,2022-05-28 14:30:22,-0.7393,-90.3518,76.96,95,99,5.99
57,Upernavik,GL,2022-05-28 14:27:09,72.7868,-56.1549,28.6,75,64,14.97
58,Guozhen,CN,2022-05-28 14:30:23,34.3659,107.359,74.98,44,85,4.88
59,Basco,PH,2022-05-28 14:30:24,20.4487,121.9702,83.88,83,59,12.86
60,Dikson,RU,2022-05-28 14:30:24,73.5069,80.5464,28.85,93,17,8.19
61,Cochabamba,BO,2022-05-28 14:30:10,-17.3895,-66.1568,63.81,42,2,0.0
62,Sitka,US,2022-05-28 14:30:25,57.0531,-135.33,49.89,87,100,6.91
63,Bengkulu,ID,2022-05-28 14:30:25,-3.8004,102.2655,77.34,87,76,9.4
64,Roald,NO,2022-05-28 14:30:25,62.5833,6.1333,49.15,87,75,12.66
65,Provincia di Campobasso,IT,2022-05-28 14:30:26,41.6333,14.5833,79.95,35,42,11.1
66,Aklavik,CA,2022-05-28 14:27:11,68.2191,-135.0107,30.2,93,100,5.75
67,Thompson,CA,2022-05-28 14:26:57,55.7435,-97.8558,41.16,70,40,2.3
68,Horasan,TR,2022-05-28 14:30:26,40.0458,42.1728,69.21,44,24,7.38
69,Port Elizabeth,ZA,2022-05-28 14:30:27,-33.918,25.5701,71.1,58,0,23.02
70,Geraldton,AU,2022-05-28 14:30:27,-28.7667,114.6,64.81,82,75,11.5
71,Codajás,BR,2022-05-28 14:30:28,-3.8367,-62.0569,85.98,62,83,5.06
72,Rio Grande,BR,2022-05-28 14:30:09,-32.035,-52.0986,60.91,79,92,5.7
73,Arraial do Cabo,BR,2022-05-28 14:30:28,-22.9661,-42.0278,82.36,57,0,11.5
74,Kruisfontein,ZA,2022-05-28 14:30:29,-34.0033,24.7314,68.88,83,32,22.44
75,Bredasdorp,ZA,2022-05-28 14:30:29,-34.5322,20.0403,65.43,56,28,18.23
76,Qaanaaq,GL,2022-05-28 14:30:06,77.484,-69.3632,30.76,81,91,4.0
77,Dobryanka,RU,2022-05-28 14:30:30,58.4619,56.4165,54.91,79,84,9.44
78,Nassau,US,2022-05-28 14:30:30,40.7507,-73.5829,72.81,79,100,10.36
79,Dudinka,RU,2022-05-28 14:30:30,69.4058,86.1778,38.62,74,8,14.18
80,Ban Phai,TH,2022-05-28 14:30:31,16.06,102.731,82.62,67,98,10.6
81,Kununurra,AU,2022-05-28 14:30:31,-15.7667,128.7333,64.38,82,9,2.3
82,Koslan,RU,2022-05-28 14:30:31,63.4564,48.8989,61.99,53,96,4.76
83,Touros,BR,2022-05-28 14:30:32,-5.1989,-35.4608,84.31,64,96,10.36
84,Hermanus,ZA,2022-05-28 14:30:32,-34.4187,19.2345,60.8,75,39,21.3
85,Coyhaique,CL,2022-05-28 14:30:02,-45.5752,-72.0662,33.75,86,20,2.3
86,Kavieng,PG,2022-05-28 14:30:33,-2.5744,150.7967,80.73,76,100,5.75
87,Atuona,PF,2022-05-28 14:30:33,-9.8,-139.0333,77.86,79,12,16.13
88,Orlik,RU,2022-05-28 14:30:33,52.5178,99.825,38.48,66,20,2.48
89,Flagstaff,US,2022-05-28 14:28:24,35.1981,-111.6513,60.46,23,0,10.36
90,Half Moon Bay,US,2022-05-28 14:30:34,37.4636,-122.4286,60.91,89,100,9.22
91,Bongouanou,CI,2022-05-28 14:30:34,6.6486,-4.1992,85.96,63,68,1.72
92,Ikot Ekpene,NG,2022-05-28 14:30:35,5.1794,7.7108,82.36,69,91,0.36
93,Kapaa,US,2022-05-28 14:30:35,22.0752,-159.319,75.18,85,100,11.5
94,Laas,IT,2022-05-28 14:30:35,46.6166,10.7002,67.08,67,86,4.36
95,Dingle,PH,2022-05-28 14:27:13,10.9995,122.6711,77.83,86,89,6.29
96,Port Lincoln,AU,2022-05-28 14:30:36,-34.7333,135.8667,53.89,71,92,5.28
97,Kashgar,CN,2022-05-28 14:30:36,39.4547,75.9797,79.81,22,40,17.9
98,Thyborøn,DK,2022-05-28 14:30:37,56.6985,8.2124,53.38,81,87,19.13
99,Tonstad,NO,2022-05-28 14:30:37,58.6626,6.7169,60.37,54,80,13.49
100,Neryungri,RU,2022-05-28 14:30:38,56.6709,124.6491,43.66,96,100,3.51
101,Bako,ET,2022-05-28 14:30:39,5.7833,36.5667,69.19,83,94,2.13
102,Lorengau,PG,2022-05-28 14:30:39,-2.0226,147.2712,79.23,73,100,2.86
103,Ormara,PK,2022-05-28 14:30:39,25.2088,64.6357,81.9,90,2,17.47
104,Ilulissat,GL,2022-05-28 14:30:40,69.2167,-51.1,33.82,80,75,9.22
105,Ribeira Grande,PT,2022-05-28 14:30:40,38.5167,-28.7,64.8,45,20,18.41
106,Yangi Marg`ilon,UZ,2022-05-28 14:25:40,40.4272,71.7189,66.92,59,40,6.91
107,Lodja,CD,2022-05-28 14:30:41,-3.4833,23.4333,70.32,98,100,2.24
108,Cockburn Town,TC,2022-05-28 14:30:41,21.4612,-71.1419,84.16,61,40,17.27
109,Yeniseysk,RU,2022-05-28 14:30:41,58.4497,92.1703,51.82,50,5,3.0
110,Hobart,AU,2022-05-28 14:30:42,-42.8794,147.3294,44.06,92,8,4.61
111,Bethel,US,2022-05-28 14:30:42,41.3712,-73.414,70.2,90,100,3.44
112,Talnakh,RU,2022-05-28 14:30:43,69.4865,88.3972,38.21,87,37,6.62
113,Grand Gaube,MU,2022-05-28 14:30:43,-20.0064,57.6608,77.4,69,0,3.0
114,Saskylakh,RU,2022-05-28 14:30:43,71.9167,114.0833,21.4,94,94,0.69
115,Bétaré Oya,CM,2022-05-28 14:30:44,5.6,14.0833,83.12,60,23,1.72
116,Kirakira,SB,2022-05-28 14:30:44,-10.4544,161.9205,78.21,85,86,2.33
117,Kalabo,ZM,2022-05-28 14:30:45,-14.97,22.6814,79.21,25,0,6.02
118,Norman Wells,CA,2022-05-28 14:30:45,65.282,-126.8329,41.04,81,75,11.5
119,Kayes,ML,2022-05-28 14:30:45,14.0,-11.0,99.79,28,17,6.11
120,Berlevåg,NO,2022-05-28 14:30:46,70.8578,29.0864,51.6,76,39,18.41
